Wall time,Step,Value
1690620584.707364,50000,-12.00086498260498
1690620606.66011,100000,-3.594235897064209
1690620629.276307,150000,4.7621073722839355
1690620652.1138642,200000,6.369673728942871
1690620674.6611001,250000,20.96457862854004
1690620697.2940915,300000,57.548702239990234
1690620717.6273856,350000,109.74723052978516
1690620740.154697,400000,143.4565887451172
1690620762.4212086,450000,191.0420684814453
1690620784.7306595,500000,204.3646240234375
1690620807.07433,550000,266.4574890136719
1690620829.3485281,600000,252.4917449951172
1690620851.5698175,650000,312.5052185058594
1690620871.7649403,700000,311.1222839355469
1690620893.907102,750000,336.3858337402344
1690620915.9663286,800000,401.7008361816406
1690620937.9392478,850000,433.64117431640625
1690620959.8973246,900000,529.1264038085938
1690620981.7080312,950000,575.9844360351562
1690621003.531776,1000000,827.2111206054688
1690621023.3335423,1050000,1072.2066650390625
1690621045.3299806,1100000,1422.8861083984375
1690621067.2024803,1150000,1599.6988525390625
1690621089.0114217,1200000,2194.346435546875
1690621110.7917187,1250000,2605.529541015625
1690621132.4192963,1300000,2906.18701171875
1690621153.8969612,1350000,3567.748779296875
1690621173.8193197,1400000,3888.70654296875
1690621195.6160479,1450000,5348.7373046875
1690621217.4456968,1500000,4242.8984375
1690621239.2553797,1550000,5923.7060546875
1690621261.053979,1600000,11611.5283203125
1690621282.8319407,1650000,8174.88671875
1690621304.681514,1700000,9432.1259765625
1690621324.4567916,1750000,8805.994140625
1690621346.275975,1800000,10986.9658203125
1690621368.0254736,1850000,11296.154296875
1690621389.8451822,1900000,12282.0595703125
1690621411.4616914,1950000,12297.099609375
1690621433.1632705,2000000,10526.310546875
1690621455.0231576,2050000,10787.037109375
1690621474.7646022,2100000,13342.224609375
1690621496.3142343,2150000,11518.853515625
1690621518.02589,2200000,11315.3857421875
1690621539.6243544,2250000,10711.4736328125
1690621561.3971195,2300000,11510.689453125
1690621583.2494004,2350000,12254.8203125
1690621604.9867852,2400000,11300.8759765625
1690621624.6946445,2450000,12724.5830078125
1690621646.5025296,2500000,11309.4453125
1690621668.289472,2550000,11854.2509765625
1690621690.0671945,2600000,12556.296875
1690621711.7422483,2650000,12319.81640625
1690621733.5396194,2700000,13275.0068359375
1690621755.1801355,2750000,13893.884765625
1690621774.8167925,2800000,12559.4482421875
1690621796.431222,2850000,13343.779296875
1690621818.2206907,2900000,12198.6689453125
1690621839.9394872,2950000,13429.068359375
1690621861.4253433,3000000,14199.0224609375
1690621883.1910179,3050000,13517.9462890625
1690621904.762056,3100000,14355.2275390625
1690621924.3454914,3150000,11665.0751953125
1690621946.2305098,3200000,13222.1318359375
