Wall time,Step,Value
1690617846.0411303,50000,-4.890717029571533
1690617868.2779346,100000,1.69407320022583
1690617890.85341,150000,6.0244526863098145
1690617913.3417742,200000,22.979366302490234
1690617935.7825804,250000,58.12136459350586
1690617958.0640912,300000,111.08789825439453
1690617978.1072795,350000,172.4198760986328
1690617999.95364,400000,221.96109008789062
1690618021.8991225,450000,261.7156677246094
1690618043.7799134,500000,333.6159973144531
1690618065.6564548,550000,430.920166015625
1690618087.415221,600000,543.3945922851562
1690618108.930063,650000,708.8138427734375
1690618128.5897799,700000,1006.0020751953125
1690618150.2516031,750000,1207.724609375
1690618171.5970535,800000,1513.1929931640625
1690618193.0781806,850000,2337.65771484375
1690618214.5934222,900000,3255.707763671875
1690618236.0007885,950000,3785.468017578125
1690618257.548157,1000000,4159.90966796875
1690618277.055465,1050000,4960.45263671875
1690618298.556586,1100000,5564.27099609375
1690618319.9201407,1150000,7993.673828125
1690618341.4232082,1200000,6806.75732421875
1690618362.8002224,1250000,6964.36328125
1690618384.3007245,1300000,10012.0751953125
1690618405.7172544,1350000,9171.4560546875
1690618425.2351503,1400000,7665.564453125
1690618446.7035394,1450000,10214.763671875
1690618468.083149,1500000,8055.87890625
1690618489.6612825,1550000,11177.150390625
1690618511.2077157,1600000,9300.373046875
1690618532.7512124,1650000,9002.966796875
1690618552.185726,1700000,10083.69921875
1690618573.6091595,1750000,8584.4580078125
1690618595.1768272,1800000,9869.62890625
1690618616.660663,1850000,9264.1689453125
1690618638.0806808,1900000,9376.380859375
1690618659.431365,1950000,11943.388671875
1690618680.8983092,2000000,10305.3330078125
1690618700.2996554,2050000,11363.5654296875
1690618721.7569516,2100000,11038.1865234375
1690618743.217366,2150000,10398.6318359375
1690618764.5326316,2200000,8001.82568359375
1690618786.1098504,2250000,8538.361328125
1690618807.4694953,2300000,9527.748046875
1690618828.9759476,2350000,9544.9716796875
1690618848.4067945,2400000,8252.791015625
1690618869.823397,2450000,9775.734375
1690618891.2944133,2500000,9064.677734375
1690618912.9540362,2550000,6886.91650390625
1690618934.3076153,2600000,9442.134765625
1690618955.7038634,2650000,9298.1298828125
1690618977.163624,2700000,7645.6279296875
1690618996.6463587,2750000,9330.7626953125
1690619018.0330756,2800000,10276.3193359375
1690619039.4318376,2850000,7847.828125
1690619060.8274088,2900000,10004.224609375
1690619082.2057292,2950000,8592.3603515625
1690619103.4883916,3000000,8768.21875
1690619123.0213816,3050000,6638.787109375
1690619144.371173,3100000,7671.2822265625
1690619165.9519167,3150000,7908.2724609375
1690619187.3548717,3200000,9000.6083984375
