Wall time,Step,Value
1690619211.2471304,50000,-9.13464069366455
1690619233.186465,100000,0.6047804355621338
1690619255.5023487,150000,8.826842308044434
1690619278.1308439,200000,30.07211685180664
1690619300.8084297,250000,66.4068374633789
1690619321.2154238,300000,100.8173599243164
1690619343.4235857,350000,144.6759796142578
1690619365.4293008,400000,191.93377685546875
1690619387.629302,450000,238.2590789794922
1690619409.7696562,500000,262.8773193359375
1690619431.8927624,550000,284.3550109863281
1690619453.8786652,600000,339.01904296875
1690619473.8188322,650000,330.003173828125
1690619495.7504218,700000,366.8748474121094
1690619517.6208086,750000,466.05255126953125
1690619539.4490678,800000,563.9901733398438
1690619561.1914124,850000,746.291259765625
1690619582.906583,900000,1004.1403198242188
1690619604.726672,950000,1406.1671142578125
1690619624.2419546,1000000,1725.3826904296875
1690619646.1550238,1050000,2059.17724609375
1690619667.8615308,1100000,2554.489990234375
1690619689.4089344,1150000,3072.33447265625
1690619710.957424,1200000,4610.076171875
1690619732.51049,1250000,5270.744140625
1690619753.988718,1300000,6377.99853515625
1690619773.5120497,1350000,6513.80029296875
1690619794.9852622,1400000,8833.9296875
1690619816.5448387,1450000,10038.1494140625
1690619838.0747368,1500000,9311.5029296875
1690619859.5667062,1550000,10595.3642578125
1690619881.1606472,1600000,7722.96044921875
1690619900.6862912,1650000,9836.3876953125
1690619922.301244,1700000,9617.5810546875
1690619943.9356384,1750000,10998.708984375
1690619965.5274072,1800000,10638.7939453125
1690619987.1063063,1850000,13024.05859375
1690620008.7135663,1900000,11468.087890625
1690620030.2577448,1950000,11815.0732421875
1690620049.638047,2000000,12392.8916015625
1690620071.273529,2050000,9715.78125
1690620092.9894981,2100000,11205.7373046875
1690620114.437152,2150000,13632.599609375
1690620135.8961773,2200000,12516.904296875
1690620157.424126,2250000,12826.1455078125
1690620178.9028049,2300000,12816.56640625
1690620198.4968402,2350000,12064.607421875
1690620219.93928,2400000,13291.2138671875
1690620241.587552,2450000,14297.6611328125
1690620263.1236482,2500000,12041.1865234375
1690620284.781349,2550000,12317.6376953125
1690620306.221933,2600000,13967.8759765625
1690620327.7776847,2650000,14544.9931640625
1690620347.2776084,2700000,13755.580078125
1690620368.835889,2750000,14072.7958984375
1690620390.3791232,2800000,14826.189453125
1690620411.9083772,2850000,13797.568359375
1690620433.4059525,2900000,11893.1171875
1690620454.9566786,2950000,12783.6552734375
1690620474.4517248,3000000,15648.8583984375
1690620496.0523615,3050000,14377.271484375
1690620517.6840281,3100000,11671.1650390625
1690620539.2242043,3150000,15491.96875
1690620560.6525145,3200000,14239.7001953125
