Wall time,Step,Value
1690628260.986131,4096,0.2981220483779907
1690628263.5579002,8192,0.8239172101020813
1690628266.1936905,12288,0.8496919274330139
1690628268.6773388,16384,2.720768928527832
1690628271.2740602,20480,7.693108558654785
1690628273.8246245,24576,3.6386773586273193
1690628276.3208456,28672,5.834557056427002
1690628278.8719065,32768,7.437182426452637
1690628281.3926716,36864,7.414699077606201
1690628283.9525764,40960,10.429038047790527
1690628286.5575285,45056,7.420599937438965
1690628289.1004148,49152,11.922374725341797
1690628291.6682608,53248,10.547789573669434
1690628294.1843753,57344,12.913495063781738
1690628296.7275934,61440,14.790984153747559
1690628299.2751207,65536,13.847249984741211
1690628301.8320546,69632,18.688936233520508
1690628304.342398,73728,15.578573226928711
1690628306.9195635,77824,23.028898239135742
1690628309.4899902,81920,28.606096267700195
1690628312.1154451,86016,26.487276077270508
1690628314.7321765,90112,41.22617721557617
1690628317.4112432,94208,45.683528900146484
1690628319.967354,98304,36.260902404785156
1690628322.5670936,102400,43.738399505615234
1690628325.0828273,106496,49.293941497802734
1690628327.691631,110592,52.145267486572266
1690628330.2432277,114688,65.08331298828125
1690628332.8294654,118784,87.61184692382812
1690628335.4433544,122880,65.15437316894531
1690628338.0744257,126976,78.11648559570312
1690628340.605218,131072,94.86372375488281
1690628343.0913649,135168,91.53976440429688
1690628345.6241093,139264,109.2420883178711
1690628348.1907911,143360,115.60114288330078
1690628350.7734144,147456,131.46884155273438
1690628353.364147,151552,137.11337280273438
1690628356.0208066,155648,144.38328552246094
1690628358.6146533,159744,143.11134338378906
1690628361.148931,163840,160.23849487304688
1690628363.6053631,167936,158.20083618164062
1690628366.236798,172032,175.5511932373047
1690628368.8041904,176128,176.8283233642578
1690628371.4127996,180224,171.44410705566406
1690628373.9759896,184320,200.77928161621094
1690628376.4800828,188416,191.93905639648438
1690628379.1068294,192512,232.1910400390625
1690628381.6516318,196608,247.11790466308594
1690628384.2772381,200704,269.4674987792969
1690628386.7943583,204800,259.65496826171875
1690628389.3740728,208896,278.47430419921875
1690628391.9577892,212992,282.5977783203125
1690628394.5519645,217088,279.1845703125
1690628397.1146564,221184,291.280029296875
1690628399.6652462,225280,306.8811340332031
1690628402.2536302,229376,293.3863220214844
1690628404.9296257,233472,306.29302978515625
1690628407.522644,237568,305.7642822265625
1690628410.0616114,241664,374.443359375
1690628412.5734267,245760,417.5923767089844
1690628415.1977763,249856,341.3255615234375
1690628417.8189194,253952,363.4798889160156
1690628420.3829513,258048,477.8867492675781
1690628422.965612,262144,487.414306640625
1690628425.4621103,266240,390.6963195800781
1690628428.055583,270336,420.7207336425781
1690628430.5937045,274432,518.613525390625
1690628433.1167002,278528,507.8294982910156
1690628435.7751226,282624,516.097900390625
1690628438.3456547,286720,482.7041015625
1690628440.8098006,290816,543.3319702148438
1690628443.3459766,294912,526.463134765625
1690628445.9573011,299008,553.5418701171875
1690628448.5865612,303104,525.3573608398438
1690628451.164784,307200,524.408935546875
1690628453.7621572,311296,488.4248046875
1690628456.1832435,315392,535.2362670898438
1690628458.7277582,319488,557.5081176757812
1690628461.291281,323584,611.9483032226562
1690628463.8011997,327680,595.4862060546875
1690628466.4363225,331776,649.859130859375
1690628468.9336293,335872,626.6836547851562
1690628471.5642054,339968,640.8250122070312
1690628474.1154077,344064,763.0497436523438
1690628476.7645886,348160,734.5780639648438
1690628479.2976172,352256,736.8892211914062
1690628481.9265392,356352,781.42333984375
1690628484.5675476,360448,742.9120483398438
1690628487.0248919,364544,821.2581176757812
1690628489.6211567,368640,769.9727172851562
1690628492.177797,372736,878.8611450195312
1690628494.6966531,376832,774.141845703125
