Wall time,Step,Value
1691250966.1487463,50000,-9.973403930664062
1691250992.8165538,100000,-0.1903778314590454
1691251020.3127987,150000,6.025012969970703
1691251048.08505,200000,15.0170316696167
1691251075.7915912,250000,32.68388366699219
1691251103.4381573,300000,50.04128646850586
1691251130.9076276,350000,76.22969818115234
1691251158.0980756,400000,106.48394775390625
1691251185.4005177,450000,140.54872131347656
1691251212.4606898,500000,146.45425415039062
1691251239.5982862,550000,182.63668823242188
1691251266.7356784,600000,266.65374755859375
1691251294.0710142,650000,350.6228332519531
1691251321.0991673,700000,490.0347900390625
1691251348.2659786,750000,761.0269775390625
1691251375.257768,800000,1118.3277587890625
1691251401.892187,850000,2217.266845703125
1691251428.3882437,900000,2585.9931640625
1691251455.1706772,950000,4127.85546875
1691251481.8936012,1000000,4692.90185546875
1691251508.769489,1050000,8221.7470703125
1691251534.9636428,1100000,8525.1640625
1691251561.260272,1150000,10917.8466796875
1691251587.4538329,1200000,11296.97265625
1691251613.7447343,1250000,13015.3955078125
1691251639.9547515,1300000,11870.7861328125
1691251671.1774316,1350000,12067.3525390625
1691251697.5533428,1400000,11749.759765625
1691251723.8566086,1450000,12335.78515625
1691251751.324416,1500000,14062.322265625
1691251778.8155448,1550000,14526.3203125
1691251805.934517,1600000,14602.6513671875
1691251833.0728245,1650000,13825.16796875
1691251860.1913238,1700000,13084.525390625
1691251887.6762059,1750000,12080.369140625
1691251915.0208602,1800000,15509.623046875
1691251942.156576,1850000,15537.357421875
1691251969.4215658,1900000,14299.197265625
1691251997.6184266,1950000,15047.185546875
1691252024.0169845,2000000,15691.412109375
1691252051.1913874,2050000,15735.1298828125
1691252078.4880505,2100000,14271.44140625
1691252105.2227333,2150000,14121.333984375
1691252132.4511142,2200000,15253.5439453125
1691252159.6395288,2250000,15870.078125
1691252186.7724543,2300000,15524.998046875
1691252214.0568888,2350000,14246.6611328125
1691252240.406739,2400000,14635.3837890625
1691252267.596475,2450000,16139.0966796875
1691252294.3778913,2500000,16050.8974609375
1691252321.0171025,2550000,15631.1923828125
1691252347.5295522,2600000,14626.6689453125
1691252374.3044908,2650000,16244.90234375
1691252400.7668004,2700000,15178.205078125
1691252427.2402756,2750000,15669.689453125
1691252458.4032032,2800000,15414.2431640625
1691252484.94311,2850000,14504.5927734375
1691252511.447694,2900000,15087.6337890625
1691252538.1651669,2950000,15698.22265625
1691252565.4078584,3000000,15929.8779296875
