Wall time,Step,Value
1691252597.1948078,50000,-9.312516212463379
1691252624.0796618,100000,-1.528468132019043
1691252651.0254877,150000,6.0013813972473145
1691252678.1581042,200000,17.852293014526367
1691252705.2561915,250000,41.823692321777344
1691252732.1768196,300000,60.96684646606445
1691252759.151696,350000,87.23958587646484
1691252786.3953834,400000,102.08539581298828
1691252813.2442596,450000,110.75902557373047
1691252839.9933107,500000,135.3926544189453
1691252866.768422,550000,142.7008514404297
1691252893.4195328,600000,160.46434020996094
1691252920.1775966,650000,200.52227783203125
1691252946.8351657,700000,206.0706329345703
1691252973.3885098,750000,265.1617736816406
1691253000.102857,800000,301.76751708984375
1691253026.7993686,850000,384.2450866699219
1691253053.5312865,900000,481.0780334472656
1691253080.048943,950000,729.4044189453125
1691253106.7858796,1000000,1054.825927734375
1691253133.1948175,1050000,1492.6175537109375
1691253159.4985063,1100000,1812.466796875
1691253185.8408635,1150000,2608.233154296875
1691253212.5208323,1200000,4013.315185546875
1691253239.2529678,1250000,5481.79345703125
1691253270.378078,1300000,7355.41552734375
1691253296.5784395,1350000,9343.52734375
1691253322.8860965,1400000,10507.4951171875
1691253349.0699682,1450000,10968.779296875
1691253375.6007717,1500000,11377.82421875
1691253402.028732,1550000,9891.6982421875
1691253428.3118317,1600000,9651.236328125
1691253454.6217663,1650000,12218.328125
1691253480.7837737,1700000,12675.1923828125
1691253507.1493979,1750000,12218.65234375
1691253533.358095,1800000,12090.4423828125
1691253559.8464487,1850000,11703.6044921875
1691253586.0013804,1900000,11388.994140625
1691253612.2370315,1950000,12821.1552734375
1691253638.4336145,2000000,13564.3623046875
1691253664.8126292,2050000,13281.36328125
1691253690.9686668,2100000,14708.412109375
1691253717.1640153,2150000,13773.642578125
1691253743.3991168,2200000,15460.271484375
1691253769.823184,2250000,13853.1943359375
1691253796.011388,2300000,15052.65234375
1691253822.1495943,2350000,14269.4873046875
1691253848.2476363,2400000,14992.8125
1691253874.487971,2450000,14723.09765625
1691253900.7921915,2500000,15045.15625
1691253927.2171264,2550000,15014.0634765625
1691253953.4412277,2600000,13790.26953125
1691253979.7758253,2650000,15702.7607421875
1691254005.869349,2700000,15795.185546875
1691254037.090847,2750000,15091.013671875
1691254063.3988657,2800000,15625.115234375
1691254089.730564,2850000,15887.322265625
1691254115.8995245,2900000,14351.2509765625
1691254141.9937294,2950000,15064.9599609375
1691254168.2303913,3000000,15574.94140625
