Wall time,Step,Value
1691254199.2004704,50000,-9.787832260131836
1691254225.4598057,100000,-0.2075875997543335
1691254252.5736215,150000,9.057778358459473
1691254279.790561,200000,33.2973747253418
1691254306.7489018,250000,56.011905670166016
1691254333.6466446,300000,77.05055236816406
1691254360.6747406,350000,97.96127319335938
1691254387.3371532,400000,124.9978256225586
1691254414.277874,450000,140.59446716308594
1691254441.026879,500000,164.14820861816406
1691254467.776099,550000,201.82723999023438
1691254494.435068,600000,247.08685302734375
1691254521.2392223,650000,286.2143859863281
1691254547.9343617,700000,383.44354248046875
1691254574.999537,750000,535.6741943359375
1691254601.5771463,800000,735.6113891601562
1691254628.0257704,850000,1088.402587890625
1691254654.4131129,900000,1515.6968994140625
1691254680.8057218,950000,1954.6585693359375
1691254707.1213627,1000000,3613.829345703125
1691254733.727576,1050000,3859.22509765625
1691254760.5186458,1100000,4576.53759765625
1691254787.0095737,1150000,8049.12451171875
1691254813.6995912,1200000,9500.2646484375
1691254840.1670713,1250000,9109.4521484375
1691254866.2998183,1300000,9737.7822265625
1691254897.314114,1350000,11492.5439453125
1691254923.6736689,1400000,10166.93359375
1691254949.9161637,1450000,10846.154296875
1691254976.289273,1500000,11550.1708984375
1691255002.4219663,1550000,10292.2373046875
1691255028.5887313,1600000,10134.7529296875
1691255054.9285848,1650000,11515.8095703125
1691255081.1944776,1700000,10601.103515625
1691255107.4969356,1750000,11189.2314453125
1691255133.966346,1800000,13906.2021484375
1691255160.011324,1850000,13536.939453125
1691255186.242531,1900000,14344.8046875
1691255212.502434,1950000,15113.48828125
1691255238.8149054,2000000,14998.751953125
1691255265.0457437,2050000,15145.5322265625
1691255291.2315285,2100000,13041.7568359375
1691255317.5427742,2150000,12308.2958984375
1691255343.7900894,2200000,14607.51953125
1691255370.1059341,2250000,13724.349609375
1691255396.376149,2300000,15466.9150390625
1691255422.798007,2350000,12452.31640625
1691255448.8461463,2400000,15870.69921875
1691255475.1417377,2450000,14663.06640625
1691255501.2693117,2500000,14614.544921875
1691255527.6204982,2550000,14539.072265625
1691255553.7462597,2600000,14120.3388671875
1691255580.2524672,2650000,15495.861328125
1691255606.4999874,2700000,14262.4482421875
1691255637.858593,2750000,14647.3125
1691255664.067953,2800000,15964.873046875
1691255690.1730616,2850000,14377.8671875
1691255716.4992566,2900000,15616.001953125
1691255742.7592123,2950000,15578.873046875
1691255768.9287882,3000000,14933.5302734375
