Wall time,Step,Value
1691257403.8941424,50000,-9.635774612426758
1691257430.2080197,100000,-0.8190674185752869
1691257457.2471735,150000,4.597060203552246
1691257484.7621233,200000,9.117242813110352
1691257512.4619842,250000,22.05149269104004
1691257539.9977238,300000,35.72486114501953
1691257567.251731,350000,54.388938903808594
1691257594.6160886,400000,78.6332015991211
1691257621.5178745,450000,91.6901626586914
1691257648.5642622,500000,125.71869659423828
1691257675.188516,550000,144.76144409179688
1691257701.9557548,600000,157.39491271972656
1691257728.9766982,650000,182.85987854003906
1691257755.8214116,700000,242.91207885742188
1691257782.7225776,750000,320.41534423828125
1691257809.5561013,800000,494.00946044921875
1691257836.3207672,850000,579.0008544921875
1691257862.7944894,900000,703.6099853515625
1691257889.3444808,950000,1206.7926025390625
1691257915.8267658,1000000,1403.520263671875
1691257942.2624052,1050000,2165.1767578125
1691257968.7785459,1100000,2851.989501953125
1691257995.2043726,1150000,4473.99951171875
1691258021.5011137,1200000,5006.314453125
1691258047.9130683,1250000,7289.14404296875
1691258079.1532583,1300000,10335.3330078125
1691258105.665345,1350000,10307.15234375
1691258132.0609353,1400000,11842.4677734375
1691258158.3398068,1450000,12746.0048828125
1691258184.7258842,1500000,11279.79296875
1691258211.2831542,1550000,12770.2548828125
1691258237.598404,1600000,13894.8095703125
1691258264.396014,1650000,14190.98828125
1691258290.691265,1700000,13652.56640625
1691258317.1259856,1750000,13876.2998046875
1691258343.5041757,1800000,13619.5732421875
1691258369.9944737,1850000,15102.0166015625
1691258396.2710435,1900000,14471.62890625
1691258422.6981685,1950000,14929.443359375
1691258449.0103567,2000000,14987.64453125
1691258475.6511,2050000,15396.9150390625
1691258501.8137636,2100000,14118.1181640625
1691258528.3521647,2150000,14194.4423828125
1691258554.6779933,2200000,15197.9912109375
1691258581.019561,2250000,15418.1259765625
1691258607.213144,2300000,15295.0751953125
1691258633.4351552,2350000,15266.5205078125
1691258659.889769,2400000,15639.625
1691258686.1270156,2450000,15445.0830078125
1691258712.4946356,2500000,15267.53125
1691258738.9528115,2550000,15929.4052734375
1691258765.2318313,2600000,15890.951171875
1691258791.454461,2650000,15226.4677734375
1691258817.5827572,2700000,15992.0107421875
1691258844.0157802,2750000,15494.6103515625
1691258875.0678437,2800000,15089.0244140625
1691258901.3330495,2850000,15782.4482421875
1691258927.890413,2900000,15260.5283203125
1691258954.1972451,2950000,15610.1435546875
1691258980.3680143,3000000,16181.810546875
