Wall time,Step,Value
1690639424.0059545,24576,1.307616114616394
1690639427.0048926,65536,10.824859619140625
1690639430.0052087,106496,24.856470108032227
1690639433.0055954,155648,29.466699600219727
1690639436.0054772,196608,47.80512619018555
1690639439.0165,245760,70.73580169677734
1690639442.0051305,286720,64.34368133544922
1690639445.004961,335872,98.8754653930664
1690639448.0051973,376832,97.65669250488281
1690639451.005505,417792,171.5019989013672
1690639454.0058076,466944,190.370849609375
1690639457.0049014,507904,257.3023986816406
1690639460.0057893,557056,203.06690979003906
1690639463.0059543,598016,259.0045166015625
1690639466.0057063,647168,377.2790832519531
1690639469.00681,688128,408.3592224121094
1690639472.0051847,729088,478.74688720703125
1690639475.005594,778240,579.4337158203125
1690639478.0058818,819200,559.2281494140625
1690639481.0054338,860160,676.8428955078125
1690639484.0071678,909312,744.4191284179688
1690639487.0051978,950272,824.9085693359375
1690639490.0053835,999424,860.8096313476562
1690639493.0054114,1040384,975.6650390625
1690639496.0052018,1089536,1051.9591064453125
1690639499.006943,1130496,1217.2442626953125
1690639502.0060794,1171456,1155.718505859375
1690639505.0057335,1220608,1377.107666015625
1690639508.005378,1261568,1332.2969970703125
1690639511.0049777,1310720,1589.5931396484375
1690639514.0061743,1351680,1541.2574462890625
1690639517.0047069,1400832,1256.0572509765625
1690639520.0054858,1441792,1739.7525634765625
1690639523.005744,1482752,1715.0284423828125
1690639526.0058472,1531904,1716.1754150390625
1690639529.0067797,1572864,1637.5133056640625
1690639532.0056713,1622016,2036.0704345703125
1690639535.0068274,1662976,1898.7459716796875
1690639538.0071042,1703936,1941.034912109375
1690639541.0058606,1744896,2360.551513671875
1690639544.008443,1794048,2315.859375
1690639547.0058103,1835008,2663.82177734375
1690639550.0055182,1875968,2105.447021484375
1690639553.0051255,1916928,2323.98974609375
1690639556.0052047,1957888,2910.509033203125
1690639559.0073895,1998848,2933.807373046875
1690639562.0057328,2039808,2926.916259765625
1690639565.0060844,2080768,2644.27880859375
1690639568.0074365,2121728,2623.828369140625
1690639571.0080063,2162688,2399.781494140625
1690639574.0079982,2203648,2737.844482421875
1690639577.0081797,2252800,3156.65283203125
1690639580.0068946,2293760,2756.458740234375
1690639583.007736,2334720,3145.88525390625
1690639586.0076656,2375680,3346.103515625
1690639589.009576,2416640,3078.082763671875
1690639592.006298,2457600,3240.877685546875
1690639595.0080721,2498560,3297.339599609375
1690639598.009034,2539520,3235.7646484375
1690639601.0088642,2580480,3154.179931640625
1690639604.009897,2629632,3385.125732421875
1690639607.008029,2670592,3322.51025390625
1690639610.0074208,2711552,2766.716064453125
1690639613.008695,2752512,3386.683837890625
1690639616.009296,2793472,3413.635009765625
1690639619.0092351,2834432,3472.1591796875
1690639622.0070345,2883584,3836.708740234375
1690639625.006605,2924544,4431.52490234375
1690639628.0068228,2973696,4735.31201171875
1690639631.0065928,3014656,4014.671142578125
1690639634.0081787,3063808,4550.32177734375
1690639637.0085673,3104768,4486.43701171875
1690639640.007829,3145728,4574.94287109375
1690639643.0058184,3194880,4224.12548828125
1690639646.0076957,3235840,4626.18212890625
1690639649.0087059,3284992,4620.33544921875
1690639652.0073779,3325952,4988.50830078125
1690639655.0093417,3366912,4834.1953125
1690639658.0084248,3416064,4449.68701171875
1690639661.008306,3457024,4754.55322265625
1690639664.0086284,3497984,4605.4189453125
1690639667.006426,3538944,4227.75537109375
1690639670.005936,3588096,3953.929931640625
1690639673.0062678,3629056,4177.638671875
1690639676.0080328,3670016,4233.27001953125
1690639679.0092244,3710976,3996.1845703125
1690639682.0076702,3751936,4648.81103515625
1690639685.007623,3801088,4577.19189453125
1690639688.0081778,3842048,4768.96630859375
1690639691.0080326,3883008,5303.06787109375
1690639694.0073762,3923968,6076.4404296875
1690639697.0078182,3964928,5578.80517578125
1690639700.0076213,4014080,4196.9423828125
1690639703.0081081,4055040,4689.552734375
1690639706.0067537,4096000,5506.53515625
1690639709.0094182,4136960,5855.884765625
1690639712.00705,4177920,5635.56591796875
1690639715.0072527,4218880,5240.9755859375
1690639718.0091333,4268032,5006.15625
1690639721.0094855,4308992,5816.28271484375
1690639724.0099494,4349952,5473.24169921875
1690639727.0083802,4390912,4880.74072265625
1690639730.0076637,4431872,4924.9453125
1690639733.0079367,4481024,4735.794921875
1690639736.007826,4521984,5276.3935546875
1690639739.0103445,4562944,5947.42578125
1690639742.0082977,4603904,6981.439453125
1690639745.007283,4644864,6676.888671875
1690639748.0064435,4685824,5801.52685546875
1690639751.0076265,4734976,4720.38037109375
1690639754.0116036,4775936,4913.5751953125
1690639757.0074801,4816896,4850.8193359375
1690639760.0076597,4857856,4737.91943359375
1690639763.0080266,4898816,5444.67529296875
1690639766.0092964,4939776,5945.16845703125
1690639769.0101452,4980736,5741.87890625
1690639772.0080962,5021696,6126.22314453125
1690639775.0075123,5070848,6293.4111328125
1690639778.0091512,5111808,4875.4697265625
1690639781.0072255,5152768,4969.1103515625
1690639784.0086877,5201920,6309.9638671875
1690639787.007907,5242880,6477.56396484375
1690639790.0066898,5292032,5971.48486328125
1690639793.0062222,5332992,6546.13818359375
1690639796.0071588,5382144,6013.0537109375
1690639799.0085232,5423104,4557.70947265625
1690639802.006559,5464064,4809.8798828125
1690639805.0059695,5513216,5518.8759765625
1690639808.0063124,5554176,6131.3486328125
1690639811.0066419,5595136,6206.4833984375
1690639814.0095968,5644288,7010.3603515625
1690639817.0065615,5685248,7010.95751953125
1690639820.007966,5734400,6313.544921875
1690639823.00707,5775360,6301.3388671875
1690639826.007023,5816320,6247.80859375
1690639829.009204,5857280,6370.33447265625
1690639832.0091276,5898240,6409.65185546875
1690639835.0073032,5939200,6338.10498046875
1690639838.0093682,5980160,6199.51806640625
1690639841.0089934,6029312,6145.701171875
1690639844.009056,6070272,7120.55029296875
1690639847.0078323,6111232,7604.44384765625
1690639850.0077107,6152192,7611.09423828125
1690639853.0099483,6193152,6234.83203125
1690639856.0080354,6242304,6311.0810546875
1690639859.0098777,6283264,6526.3681640625
1690639862.0072045,6324224,6998.88671875
1690639865.007943,6365184,7002.86279296875
1690639868.0084631,6406144,6695.5322265625
1690639871.0079584,6455296,7484.72607421875
1690639874.0098116,6496256,7172.634765625
1690639877.008715,6537216,6948.71044921875
1690639880.0078044,6578176,6497.0390625
1690639883.008826,6627328,5910.81689453125
1690639886.0076027,6668288,5960.6962890625
1690639889.0113924,6709248,6660.5615234375
1690639892.0071886,6750208,6761.38525390625
1690639895.0084465,6791168,7431.33984375
1690639898.0079563,6832128,6794.78515625
1690639901.0085819,6873088,6301.9404296875
1690639904.0106936,6922240,6521.02734375
1690639907.0068748,6963200,6617.7685546875
1690639910.007,7004160,7246.48681640625
1690639913.009587,7045120,6620.97900390625
1690639916.0087435,7086080,6018.5
1690639919.0085301,7127040,6156.66259765625
1690639922.0070233,7176192,5702.3994140625
1690639925.0070045,7217152,5568.58740234375
1690639928.008131,7266304,5759.4921875
1690639931.0074568,7307264,5911.2900390625
1690639934.0069125,7356416,6091.49365234375
1690639937.0071952,7397376,6524.61767578125
1690639940.0065618,7438336,6294.4033203125
1690639943.0073705,7487488,5475.0810546875
1690639946.0064905,7528448,5332.44140625
1690639949.009924,7569408,4934.81005859375
1690639952.00828,7618560,5285.92578125
1690639955.0097182,7659520,5467.1181640625
1690639958.007493,7700480,5983.564453125
1690639961.0080824,7741440,6263.765625
1690639964.010149,7782400,6048.71337890625
1690639967.0084167,7823360,6228.115234375
1690639970.0083141,7864320,6773.81689453125
1690639973.008199,7905280,7345.09375
1690639976.007265,7946240,6236.86474609375
1690639979.0071526,7987200,6521.33056640625
1690639982.008107,8028160,7482.88818359375
1690639985.007819,8077312,6880.41455078125
1690639988.0073156,8118272,5903.0712890625
1690639991.006849,8159232,5422.31787109375
1690639994.010194,8200192,5965.046875
1690639997.008232,8241152,6292.4814453125
1690640000.0077288,8282112,6541.44921875
1690640003.006901,8331264,7019.11865234375
1690640006.0077217,8372224,7340.00146484375
1690640009.009224,8413184,6387.5986328125
1690640012.0070393,8454144,5465.32666015625
1690640015.008187,8503296,5642.68359375
1690640018.0066469,8544256,5651.51318359375
1690640021.00738,8585216,6555.8583984375
